Issuer,StartsWith,Length
"MasterCard",2446,16
"MasterCard",2447,16
"MasterCard",2448,16
"MasterCard",2449,16
"MasterCard",2450,16
"MasterCard",2451,16
"MasterCard",2452,16
"MasterCard",2453,16
"MasterCard",2454,16
"MasterCard",2455,16
"MasterCard",2456,16
"MasterCard",2457,16
"MasterCard",2458,16
"MasterCard",2459,16
"MasterCard",2460,16
"MasterCard",2461,16
"MasterCard",2462,16
"MasterCard",2463,16
"MasterCard",2464,16
"MasterCard",2465,16
"MasterCard",2466,16
"MasterCard",2467,16
"MasterCard",2468,16
"MasterCard",2469,16
"MasterCard",2470,16
"MasterCard",2471,16
"MasterCard",2472,16
"MasterCard",2473,16
"MasterCard",2474,16
"MasterCard",2475,16
"MasterCard",2476,16
"MasterCard",2477,16
"MasterCard",2478,16
"MasterCard",2479,16
"MasterCard",2480,16
"MasterCard",2481,16
"MasterCard",2482,16
"MasterCard",2483,16
"MasterCard",2484,16
"MasterCard",2485,16
"MasterCard",2486,16
"MasterCard",2487,16
"MasterCard",2488,16
"MasterCard",2489,16
"MasterCard",2490,16
"MasterCard",2491,16
"MasterCard",2492,16
"MasterCard",2493,16
"MasterCard",2494,16
"MasterCard",2495,16
"MasterCard",2496,16
"MasterCard",2497,16
"MasterCard",2498,16
"MasterCard",2499,16
"MasterCard",2500,16
"MasterCard",2501,16
"MasterCard",2502,16
"MasterCard",2503,16
"MasterCard",2504,16
"MasterCard",2505,16
"MasterCard",2506,16
"MasterCard",2507,16
"MasterCard",2508,16
"MasterCard",2509,16
"MasterCard",2510,16
"MasterCard",2511,16
"MasterCard",2512,16
"MasterCard",2513,16
"MasterCard",2514,16
"MasterCard",2515,16
"MasterCard",2516,16
"MasterCard",2517,16
"MasterCard",2518,16
"MasterCard",2519,16
"MasterCard",2520,16
"MasterCard",2521,16
"MasterCard",2522,16
"MasterCard",2523,16
"MasterCard",2524,16
"MasterCard",2525,16
"MasterCard",2526,16
"MasterCard",2527,16
"MasterCard",2528,16
"MasterCard",2529,16
"MasterCard",2530,16
"MasterCard",2531,16
"MasterCard",2532,16
"MasterCard",2533,16
"MasterCard",2534,16
"MasterCard",2535,16
"MasterCard",2536,16
"MasterCard",2537,16
"MasterCard",2538,16
"MasterCard",2539,16
"MasterCard",2540,16
"MasterCard",2541,16
"MasterCard",2542,16
"MasterCard",2543,16
"MasterCard",2544,16
"MasterCard",2545,16
"MasterCard",2546,16
"MasterCard",2547,16
"MasterCard",2548,16
"MasterCard",2549,16
"MasterCard",2550,16
"MasterCard",2551,16
"MasterCard",2552,16
"MasterCard",2553,16
"MasterCard",2554,16
"MasterCard",2555,16
"MasterCard",2556,16
"MasterCard",2557,16
"MasterCard",2558,16
"MasterCard",2559,16
"MasterCard",2560,16
"MasterCard",2561,16
"MasterCard",2562,16
"MasterCard",2563,16
"MasterCard",2564,16
"MasterCard",2565,16
"MasterCard",2566,16
"MasterCard",2567,16
"MasterCard",2568,16
"MasterCard",2569,16
"MasterCard",2570,16
"MasterCard",2571,16
"MasterCard",2572,16
"MasterCard",2573,16
"MasterCard",2574,16
"MasterCard",2575,16
"MasterCard",2576,16
"MasterCard",2577,16
"MasterCard",2578,16
"MasterCard",2579,16
"MasterCard",2580,16
"MasterCard",2581,16
"MasterCard",2582,16
"MasterCard",2583,16
"MasterCard",2584,16
"MasterCard",2585,16
"MasterCard",2586,16
"MasterCard",2587,16
"MasterCard",2588,16
"MasterCard",2589,16
"MasterCard",2590,16
"MasterCard",2591,16
"MasterCard",2592,16
"MasterCard",2593,16
"MasterCard",2594,16
"MasterCard",2595,16
"MasterCard",2596,16
"MasterCard",2597,16
"MasterCard",2598,16
"MasterCard",2599,16
"MasterCard",2600,16
"MasterCard",2601,16
"MasterCard",2602,16
"MasterCard",2603,16
"MasterCard",2604,16
"MasterCard",2605,16
"MasterCard",2606,16
"MasterCard",2607,16
"MasterCard",2608,16
"MasterCard",2609,16
"MasterCard",2610,16
"MasterCard",2611,16
"MasterCard",2612,16
"MasterCard",2613,16
"MasterCard",2614,16
"MasterCard",2615,16
"MasterCard",2616,16
"MasterCard",2617,16
"MasterCard",2618,16
"MasterCard",2619,16
"MasterCard",2620,16
"MasterCard",2621,16
"MasterCard",2622,16
"MasterCard",2623,16
"MasterCard",2624,16
"MasterCard",2625,16
"MasterCard",2626,16
"MasterCard",2627,16
"MasterCard",2628,16
"MasterCard",2629,16
"MasterCard",2630,16
"MasterCard",2631,16
"MasterCard",2632,16
"MasterCard",2633,16
"MasterCard",2634,16
"MasterCard",2635,16
"MasterCard",2636,16
"MasterCard",2637,16
"MasterCard",2638,16
"MasterCard",2639,16
"MasterCard",2640,16
"MasterCard",2641,16
"MasterCard",2642,16
"MasterCard",2643,16
"MasterCard",2644,16
"MasterCard",2645,16
"MasterCard",2646,16
"MasterCard",2647,16
"MasterCard",2648,16
"MasterCard",2649,16
"MasterCard",2650,16
"MasterCard",2651,16
"MasterCard",2652,16
"MasterCard",2653,16
"MasterCard",2654,16
"MasterCard",2655,16
"MasterCard",2656,16
"MasterCard",2657,16
"MasterCard",2658,16
"MasterCard",2659,16
"MasterCard",2660,16
"MasterCard",2661,16
"MasterCard",2662,16
"MasterCard",2663,16
"MasterCard",2664,16
"MasterCard",2665,16
"MasterCard",2666,16
"MasterCard",2667,16
"MasterCard",2668,16
"MasterCard",2669,16
"MasterCard",2670,16
"MasterCard",2671,16
"MasterCard",2672,16
"MasterCard",2673,16
"MasterCard",2674,16
"MasterCard",2675,16
"MasterCard",2676,16
"MasterCard",2677,16
"MasterCard",2678,16
"MasterCard",2679,16
"MasterCard",2680,16
"MasterCard",2681,16
"MasterCard",2682,16
"MasterCard",2683,16
"MasterCard",2684,16
"MasterCard",2685,16
"MasterCard",2686,16
"MasterCard",2687,16
"MasterCard",2688,16
"MasterCard",2689,16
"MasterCard",2690,16
"MasterCard",2691,16
"MasterCard",2692,16
"MasterCard",2693,16
"MasterCard",2694,16
"MasterCard",2695,16
"MasterCard",2696,16
"MasterCard",2697,16
"MasterCard",2698,16
"MasterCard",2699,16
"MasterCard",2700,16
"MasterCard",2701,16
"MasterCard",2702,16
"MasterCard",2703,16
"MasterCard",2704,16
"MasterCard",2705,16
"MasterCard",2706,16
"MasterCard",2707,16
"MasterCard",2708,16
"MasterCard",2709,16
"MasterCard",2710,16
"MasterCard",2711,16
"MasterCard",2712,16
"MasterCard",2713,16
"MasterCard",2714,16
"MasterCard",2715,16
"MasterCard",2716,16
"MasterCard",2717,16
"MasterCard",2718,16
"MasterCard",2719,16
"MasterCard",2720,16
"MasterCard",51,16
"MasterCard",52,16
"MasterCard",53,16
"MasterCard",54,16
"MasterCard",55,16
"Visa",4,16
